metric	value	status	notes
reviewed_phage_mappings	105	pass	data/metadata/assay_source_exports/phagehostlearn_2024_phage_id_map.tsv
manifest_phage_rows	105	pass	data/metadata/source_manifests/phagehostlearn_2024_phages.tsv
phage_archive_sha256	1941cfb11b924cde4e5259d308745f89d0acc697879ce771def617e7d97756dc	pass	data/metadata/external/phagehostlearn/phages_genomes.zip
rbpbase_rows_loaded	274	pass	data/metadata/external/phagehostlearn/RBPbase.csv
rbpbase_source_rows	274	pass	reviewed_phages_with_rbpbase_rows=105; rbpbase_sha256=3e1b820993a240b1faa12547c6b1a796585b8f40c3dc777c2ae3a9afbf1e0dce
rbpbase_exact_source_row_matches	247	pass	matched_phages=103
annotated_phages	105	pass	expected=105
annotation_rows	8393	pass	baseline CDS predictions only
annotation_output_sha256	1427a1ab6257a9dde3bd506e814aef5d5ea14e057f704919e50bc3a13a3720ea	pass	data/metadata/production_evidence/phagehostlearn_prodigal_cds_annotations.tsv
